person_id,age_band,gender,region,urbanicity,digital_engagement_score,concept_interest_0_10,likely_to_try
P02422,18-24,Man,Scotland/Wales,Rural / small town,80.4,7.1,1
P02423,25-34,Man,London,Urban,92.1,7.1,1
P02424,55-64,Woman,North,Rural / small town,27.2,2.0,0
P02425,45-54,Woman,South,Rural / small town,49.4,3.5,0
P02426,65-74,Man,North,Urban,54.7,4.7,0
P02427,55-64,Woman,Midlands,Rural / small town,41.5,1.5,0
P02428,18-24,Man,South,Rural / small town,83.6,5.4,0
P02429,18-24,Non-binary / other,South,Rural / small town,57.7,4.6,0
P02430,45-54,Man,London,Urban,63.4,4.9,0
P02431,25-34,Woman,North,Urban,89.4,5.5,0
P02432,18-24,Man,London,Urban,80.5,4.6,0
P02433,55-64,Woman,North,Urban,72.0,5.7,0
P02434,65-74,Man,Midlands,Urban,37.6,5.2,0
P02435,65-74,Woman,North,Rural / small town,20.0,1.9,0
P02436,45-54,Woman,South,Urban,60.2,5.1,0
P02437,35-44,Woman,South,Urban,81.6,8.2,1
P02438,35-44,Woman,London,Urban,85.3,10.0,1
P02439,18-24,Man,Midlands,Urban,90.5,7.1,1
P02440,45-54,Woman,London,Urban,62.8,5.4,0
P02441,25-34,Man,London,Urban,82.2,6.3,0
P02442,65-74,Woman,South,Urban,38.3,0.5,0
P02443,35-44,Man,North,Urban,98.4,7.5,1
P02444,25-34,Woman,North,Urban,94.4,7.8,1
P02445,25-34,Woman,Scotland/Wales,Urban,58.8,7.9,1
P02446,35-44,Man,Midlands,Urban,80.1,6.1,0
P02447,45-54,Man,North,Urban,85.1,5.6,0
P02448,35-44,Woman,South,Urban,100.0,5.3,0
P02449,18-24,Man,Midlands,Urban,73.7,3.5,0
P02450,45-54,Man,South,Urban,41.9,6.3,0
P02451,55-64,Woman,Midlands,Rural / small town,38.6,1.9,0
P02452,35-44,Woman,Scotland/Wales,Rural / small town,87.1,4.1,0
P02453,18-24,Woman,London,Urban,83.4,5.8,0
P02454,35-44,Man,Midlands,Urban,69.9,3.3,0
P02455,25-34,Man,South,Rural / small town,70.1,6.6,0
P02456,18-24,Woman,South,Urban,86.7,4.2,0
P02457,18-24,Woman,London,Urban,77.9,3.9,0
P02458,25-34,Man,Midlands,Rural / small town,71.1,7.0,1
P02459,45-54,Man,Midlands,Urban,69.1,3.2,0
P02460,35-44,Woman,Midlands,Urban,67.8,5.4,0
P02461,55-64,Man,Midlands,Urban,55.7,3.3,0
P02462,45-54,Man,South,Urban,65.0,2.5,0
P02463,35-44,Woman,South,Rural / small town,51.4,2.9,0
P02464,18-24,Woman,North,Urban,63.9,6.1,0
P02465,18-24,Man,South,Rural / small town,68.8,6.5,0
P02466,65-74,Man,Midlands,Urban,50.4,2.8,0
P02467,35-44,Woman,Scotland/Wales,Urban,82.3,3.6,0
P02468,45-54,Woman,North,Urban,59.6,4.9,0
P02469,18-24,Man,Midlands,Urban,92.1,6.6,0
P02470,35-44,Man,Midlands,Urban,88.3,5.8,0
P02471,65-74,Woman,Midlands,Urban,45.3,0.0,0
P02472,65-74,Man,South,Rural / small town,36.3,3.3,0
P02473,18-24,Woman,London,Urban,61.0,7.0,1
P02474,18-24,Woman,Midlands,Rural / small town,78.6,6.2,0
P02475,25-34,Woman,North,Rural / small town,87.2,7.3,1
P02476,55-64,Woman,North,Rural / small town,58.9,1.3,0
P02477,18-24,Woman,North,Rural / small town,87.4,8.4,1
P02478,45-54,Man,London,Urban,41.4,5.5,0
P02479,35-44,Woman,Scotland/Wales,Urban,67.6,6.8,0
P02480,25-34,Woman,Scotland/Wales,Urban,78.0,5.5,0
P02481,65-74,Man,South,Rural / small town,18.5,0.7,0
P02482,18-24,Woman,North,Rural / small town,70.3,6.3,0
P02483,65-74,Woman,Midlands,Rural / small town,15.2,2.3,0
P02484,35-44,Man,London,Urban,75.7,5.9,0
P02485,35-44,Man,North,Rural / small town,60.8,4.7,0
P02486,45-54,Woman,Midlands,Urban,69.8,4.4,0
P02487,25-34,Woman,North,Urban,100.0,4.8,0
P02488,18-24,Woman,Scotland/Wales,Urban,85.4,5.4,0
P02489,18-24,Woman,North,Rural / small town,69.7,3.7,0
P02490,65-74,Man,Midlands,Urban,51.4,1.4,0
P02491,18-24,Man,South,Rural / small town,72.0,5.4,0
P02492,35-44,Non-binary / other,North,Urban,80.0,6.3,0
P02493,35-44,Man,North,Urban,64.8,4.5,0
P02494,55-64,Man,South,Urban,44.2,3.1,0
P02495,25-34,Woman,North,Urban,77.8,5.6,0
P02496,25-34,Man,South,Urban,83.8,7.2,1
P02497,55-64,Woman,London,Urban,48.4,4.5,0
P02498,35-44,Woman,South,Urban,94.1,6.2,0
P02499,65-74,Woman,North,Urban,32.0,2.6,0
P02500,25-34,Woman,Midlands,Rural / small town,72.1,3.8,0
P02501,25-34,Woman,Midlands,Urban,46.0,4.2,0
P02502,25-34,Woman,South,Urban,95.8,6.4,0
P02503,55-64,Woman,London,Urban,37.4,3.1,0
P02504,35-44,Non-binary / other,London,Urban,52.5,5.8,0
P02505,35-44,Man,North,Urban,77.2,3.9,0
P02506,55-64,Man,Midlands,Urban,48.0,4.4,0
P02507,65-74,Woman,Scotland/Wales,Rural / small town,32.1,2.0,0
P02508,18-24,Woman,South,Urban,85.3,7.9,1
P02509,18-24,Woman,Midlands,Urban,75.0,5.3,0
P02510,65-74,Man,North,Urban,38.5,3.4,0
P02511,25-34,Man,Scotland/Wales,Urban,96.0,6.6,0
P02512,45-54,Woman,Midlands,Urban,62.5,4.8,0
P02513,45-54,Man,North,Urban,47.6,5.5,0
P02514,18-24,Non-binary / other,London,Urban,94.0,5.2,0
P02515,45-54,Woman,Midlands,Rural / small town,33.4,3.7,0
P02516,55-64,Man,Scotland/Wales,Rural / small town,34.3,5.0,0
P02517,35-44,Woman,Scotland/Wales,Rural / small town,51.6,4.8,0
P02518,65-74,Man,London,Urban,42.2,5.7,0
P02519,25-34,Woman,North,Urban,84.8,3.3,0
P02520,35-44,Woman,London,Urban,90.8,5.9,0
P02521,25-34,Woman,South,Rural / small town,64.0,5.2,0
P02522,35-44,Man,Midlands,Urban,62.8,5.2,0
P02523,35-44,Woman,South,Urban,62.9,6.9,0
P02524,18-24,Woman,London,Rural / small town,81.1,5.3,0
P02525,35-44,Woman,South,Rural / small town,75.2,4.1,0
P02526,65-74,Woman,Midlands,Rural / small town,21.4,2.8,0
P02527,35-44,Woman,Scotland/Wales,Urban,65.9,4.4,0
P02528,25-34,Woman,Midlands,Rural / small town,55.1,6.3,0
P02529,25-34,Man,South,Urban,71.0,6.7,0
P02530,25-34,Woman,South,Rural / small town,64.5,3.8,0
P02531,65-74,Woman,North,Urban,9.6,2.9,0
P02532,65-74,Woman,South,Urban,41.9,4.9,0
P02533,45-54,Man,North,Urban,57.3,4.3,0
P02534,55-64,Man,North,Rural / small town,48.1,1.8,0
P02535,65-74,Woman,South,Rural / small town,23.6,4.5,0
P02536,25-34,Woman,South,Urban,88.7,4.9,0
P02537,55-64,Woman,North,Urban,70.0,3.0,0
P02538,25-34,Man,South,Urban,67.4,5.7,0
P02539,45-54,Woman,Scotland/Wales,Urban,58.9,6.0,0
P02540,25-34,Woman,London,Rural / small town,67.0,5.3,0
P02541,55-64,Man,South,Urban,44.9,6.4,0
P02542,55-64,Woman,South,Rural / small town,46.2,2.5,0
P02543,25-34,Woman,London,Urban,73.7,4.8,0
P02544,55-64,Woman,North,Urban,60.2,5.2,0
P02545,35-44,Man,London,Urban,82.9,7.6,1
P02546,55-64,Woman,North,Urban,70.4,6.2,0
P02547,25-34,Man,London,Urban,67.4,3.7,0
P02548,45-54,Woman,North,Rural / small town,67.3,4.1,0
P02549,25-34,Man,London,Urban,86.5,2.8,0
P02550,55-64,Man,Midlands,Urban,53.2,2.1,0
P02551,18-24,Woman,North,Urban,74.1,5.4,0
P02552,55-64,Man,North,Urban,28.2,4.1,0
P02553,35-44,Man,South,Urban,61.4,5.8,0
P02554,45-54,Woman,Scotland/Wales,Urban,73.4,3.9,0
P02555,65-74,Woman,Midlands,Urban,43.1,3.5,0
P02556,25-34,Non-binary / other,South,Urban,94.2,5.2,0
P02557,25-34,Woman,London,Urban,86.7,7.9,1
P02558,55-64,Woman,London,Urban,64.6,4.4,0
P02559,65-74,Man,North,Urban,72.4,3.8,0
P02560,35-44,Man,London,Urban,61.2,3.4,0
P02561,55-64,Woman,South,Rural / small town,41.8,3.2,0
P02562,65-74,Woman,Scotland/Wales,Rural / small town,60.3,3.9,0
P02563,55-64,Man,London,Urban,56.3,6.1,0
P02564,35-44,Man,South,Rural / small town,68.5,5.5,0
P02565,35-44,Man,North,Urban,60.5,6.0,0
P02566,45-54,Woman,North,Urban,63.8,5.2,0
P02567,45-54,Man,Midlands,Urban,93.1,3.9,0
P02568,55-64,Woman,South,Urban,63.7,3.2,0
P02569,35-44,Man,South,Rural / small town,52.4,3.2,0
P02570,18-24,Man,North,Urban,73.0,5.2,0
P02571,45-54,Woman,Midlands,Urban,71.2,4.9,0
P02572,45-54,Woman,North,Rural / small town,30.4,4.7,0
P02573,45-54,Woman,Midlands,Urban,65.9,6.7,0
P02574,35-44,Woman,North,Rural / small town,66.2,2.8,0
P02575,18-24,Woman,South,Urban,77.7,2.1,0
P02576,55-64,Man,South,Rural / small town,21.2,4.8,0
P02577,55-64,Man,London,Urban,55.3,2.8,0
P02578,45-54,Man,Midlands,Rural / small town,53.5,0.4,0
P02579,55-64,Woman,London,Urban,56.9,4.4,0
P02580,45-54,Man,London,Rural / small town,71.9,7.5,1
P02581,18-24,Man,South,Urban,88.3,5.4,0
P02582,35-44,Man,Midlands,Urban,73.4,5.7,0
P02583,35-44,Woman,Scotland/Wales,Rural / small town,64.5,6.1,0
P02584,65-74,Man,Scotland/Wales,Rural / small town,19.4,1.2,0
P02585,45-54,Woman,London,Urban,73.6,4.3,0
P02586,65-74,Woman,London,Urban,51.6,3.8,0
P02587,65-74,Woman,South,Rural / small town,54.2,4.8,0
P02588,55-64,Man,North,Rural / small town,37.9,5.5,0
P02589,25-34,Man,South,Urban,58.2,2.6,0
P02590,65-74,Woman,North,Urban,35.7,1.4,0
P02591,35-44,Woman,Midlands,Urban,55.9,2.9,0
P02592,55-64,Man,Midlands,Urban,44.2,5.1,0
P02593,35-44,Man,Scotland/Wales,Rural / small town,66.6,5.3,0
P02594,45-54,Man,North,Urban,61.1,6.0,0
P02595,45-54,Man,Midlands,Urban,82.8,6.5,0
P02596,18-24,Man,Scotland/Wales,Rural / small town,80.5,4.6,0
P02597,55-64,Man,London,Rural / small town,50.3,6.5,0
P02598,65-74,Woman,Midlands,Rural / small town,21.1,1.8,0
P02599,25-34,Man,South,Urban,59.4,5.7,0
P02600,35-44,Man,South,Urban,60.5,6.9,0
P02601,55-64,Non-binary / other,South,Urban,38.9,0.0,0
P02602,45-54,Woman,Midlands,Urban,70.4,3.9,0
P02603,25-34,Woman,North,Urban,63.1,7.0,1
P02604,65-74,Man,North,Rural / small town,31.1,0.0,0
P02605,25-34,Woman,Scotland/Wales,Urban,85.6,5.2,0
P02606,65-74,Man,North,Rural / small town,37.4,4.1,0
P02607,65-74,Woman,South,Urban,44.9,4.7,0
P02608,45-54,Woman,North,Urban,48.5,5.3,0
P02609,65-74,Woman,London,Urban,17.3,0.0,0
P02610,65-74,Woman,South,Urban,37.0,3.0,0
P02611,45-54,Man,London,Urban,51.8,3.7,0
P02612,35-44,Woman,Midlands,Rural / small town,64.5,4.3,0
P02613,35-44,Woman,South,Urban,82.7,7.2,1
P02614,35-44,Woman,North,Urban,55.8,5.1,0
P02615,35-44,Man,North,Urban,77.0,6.9,0
P02616,25-34,Woman,North,Rural / small town,69.5,4.0,0
P02617,55-64,Woman,North,Urban,73.6,3.5,0
P02618,35-44,Man,South,Urban,65.8,5.6,0
P02619,25-34,Woman,Scotland/Wales,Urban,75.7,6.9,0
P02620,35-44,Woman,South,Urban,49.8,3.8,0
P02621,25-34,Woman,Midlands,Urban,70.6,5.8,0
P02622,45-54,Man,London,Rural / small town,44.0,2.9,0
P02623,45-54,Man,London,Urban,74.4,6.9,0
P02624,55-64,Man,Scotland/Wales,Urban,38.9,4.2,0
P02625,45-54,Woman,North,Rural / small town,48.8,4.7,0
P02626,55-64,Woman,Midlands,Urban,47.2,3.4,0
P02627,25-34,Woman,Midlands,Rural / small town,46.5,6.0,0
P02628,25-34,Woman,Midlands,Rural / small town,100.0,7.4,1
P02629,55-64,Woman,North,Rural / small town,35.6,4.1,0
P02630,45-54,Man,South,Rural / small town,47.3,5.6,0
P02631,25-34,Woman,North,Urban,76.6,3.4,0
P02632,35-44,Man,South,Urban,51.3,7.7,1
P02633,35-44,Woman,Scotland/Wales,Rural / small town,70.1,5.2,0
P02634,25-34,Woman,North,Urban,74.2,5.1,0
P02635,65-74,Woman,North,Urban,23.7,4.4,0
P02636,35-44,Man,North,Urban,66.4,6.6,0
P02637,45-54,Woman,North,Rural / small town,66.5,6.4,0
P02638,55-64,Man,Midlands,Urban,34.5,4.5,0
P02639,45-54,Man,Scotland/Wales,Urban,70.5,4.3,0
P02640,45-54,Woman,London,Urban,45.0,7.4,1
P02641,55-64,Woman,Midlands,Rural / small town,38.9,1.2,0
P02642,18-24,Man,Midlands,Rural / small town,66.4,3.4,0
P02643,65-74,Man,Midlands,Urban,23.8,2.3,0
P02644,45-54,Man,South,Urban,63.5,5.6,0
P02645,55-64,Woman,North,Urban,62.2,4.9,0
P02646,35-44,Woman,Scotland/Wales,Urban,74.6,4.4,0
P02647,25-34,Woman,Scotland/Wales,Rural / small town,75.9,5.7,0
P02648,45-54,Woman,North,Urban,66.4,5.2,0
P02649,65-74,Woman,North,Urban,28.9,4.3,0
P02650,35-44,Non-binary / other,Midlands,Urban,79.6,5.9,0
P02651,35-44,Man,North,Urban,72.2,4.7,0
P02652,65-74,Non-binary / other,North,Rural / small town,36.9,4.3,0
P02653,45-54,Man,North,Urban,64.1,6.4,0
P02654,55-64,Man,South,Rural / small town,47.6,3.1,0
P02655,25-34,Man,North,Urban,88.2,6.1,0
P02656,25-34,Woman,North,Urban,85.6,5.6,0
P02657,65-74,Woman,Scotland/Wales,Rural / small town,42.5,0.5,0
P02658,18-24,Man,South,Urban,86.9,9.0,1
P02659,55-64,Man,Scotland/Wales,Rural / small town,27.7,4.0,0
P02660,55-64,Man,London,Urban,46.4,4.4,0
P02661,25-34,Man,Midlands,Urban,92.3,6.4,0
P02662,18-24,Man,North,Urban,89.3,7.1,1
P02663,25-34,Woman,London,Urban,77.7,8.2,1
P02664,35-44,Woman,North,Urban,67.4,3.5,0
P02665,65-74,Non-binary / other,North,Urban,23.3,0.0,0
P02666,45-54,Man,North,Urban,61.3,3.2,0
P02667,65-74,Man,North,Rural / small town,42.8,2.3,0
P02668,25-34,Man,Midlands,Urban,89.2,5.6,0
P02669,18-24,Woman,North,Urban,59.0,4.5,0
P02670,25-34,Man,North,Urban,65.9,3.0,0
P02671,65-74,Man,South,Rural / small town,36.6,0.7,0
P02672,25-34,Woman,North,Rural / small town,48.1,4.2,0
P02673,35-44,Woman,North,Rural / small town,61.1,4.0,0
P02674,65-74,Woman,Scotland/Wales,Rural / small town,16.0,0.6,0
P02675,35-44,Man,Midlands,Urban,98.2,10.0,1
P02676,65-74,Woman,North,Urban,40.3,2.8,0
P02677,55-64,Woman,North,Rural / small town,44.8,4.4,0
P02678,25-34,Woman,London,Urban,76.8,5.8,0
P02679,65-74,Woman,London,Urban,23.4,3.9,0
P02680,25-34,Man,Scotland/Wales,Rural / small town,60.8,7.2,1
P02681,25-34,Man,Midlands,Rural / small town,47.9,5.3,0
P02682,55-64,Man,North,Urban,56.3,2.3,0
P02683,25-34,Woman,Midlands,Rural / small town,64.1,4.5,0
P02684,55-64,Non-binary / other,Scotland/Wales,Urban,48.2,2.6,0
P02685,18-24,Man,North,Rural / small town,68.0,6.3,0
P02686,35-44,Woman,North,Urban,79.3,3.0,0
P02687,25-34,Man,Scotland/Wales,Rural / small town,68.1,8.2,1
P02688,45-54,Woman,South,Urban,56.3,6.5,0
P02689,18-24,Man,North,Urban,76.9,2.4,0
P02690,65-74,Man,South,Urban,36.9,4.0,0
P02691,18-24,Man,North,Rural / small town,45.7,5.4,0
P02692,25-34,Man,London,Urban,77.0,7.1,1
P02693,25-34,Man,Midlands,Urban,100.0,6.2,0
P02694,45-54,Man,London,Rural / small town,38.4,2.7,0
P02695,25-34,Woman,Midlands,Urban,68.3,5.0,0
P02696,25-34,Woman,Scotland/Wales,Rural / small town,65.4,4.8,0
P02697,25-34,Man,South,Urban,94.8,7.4,1
P02698,18-24,Man,London,Urban,91.0,4.5,0
P02699,65-74,Woman,South,Rural / small town,48.1,3.5,0
P02700,35-44,Woman,North,Urban,56.6,4.5,0
P02701,65-74,Woman,North,Urban,32.8,2.7,0
P02702,45-54,Woman,North,Urban,72.7,5.8,0
P02703,35-44,Woman,Midlands,Urban,64.6,5.1,0
P02704,45-54,Man,Midlands,Rural / small town,59.1,5.8,0
P02705,45-54,Man,London,Urban,72.5,5.9,0
P02706,65-74,Woman,North,Rural / small town,47.7,0.8,0
P02707,65-74,Woman,Scotland/Wales,Urban,38.2,2.5,0
P02708,35-44,Woman,Midlands,Rural / small town,77.4,7.2,1
P02709,45-54,Non-binary / other,Scotland/Wales,Urban,71.8,3.6,0
P02710,35-44,Man,London,Urban,70.8,6.0,0
P02711,55-64,Woman,South,Urban,67.6,6.0,0
P02712,25-34,Man,Midlands,Urban,90.3,4.8,0
P02713,65-74,Man,Midlands,Urban,26.3,0.0,0
P02714,65-74,Woman,London,Urban,56.9,2.6,0
P02715,55-64,Man,North,Urban,53.2,1.3,0
P02716,65-74,Woman,London,Urban,53.5,4.2,0
P02717,55-64,Man,Midlands,Urban,57.7,4.2,0
P02718,45-54,Woman,Midlands,Rural / small town,62.4,2.4,0
P02719,25-34,Woman,Midlands,Urban,88.2,7.2,1
P02720,25-34,Woman,South,Urban,79.8,9.2,1
P02721,25-34,Man,Midlands,Rural / small town,46.5,7.2,1
P02722,65-74,Man,North,Rural / small town,33.8,3.9,0
P02723,65-74,Man,South,Urban,43.1,4.2,0
P02724,25-34,Woman,South,Urban,100.0,6.6,0
P02725,55-64,Woman,South,Rural / small town,36.3,4.5,0
P02726,55-64,Man,North,Urban,48.0,0.7,0
P02727,45-54,Non-binary / other,London,Rural / small town,44.7,2.4,0
P02728,55-64,Man,Midlands,Rural / small town,63.4,2.6,0
P02729,45-54,Man,North,Urban,65.0,4.1,0
P02730,65-74,Man,South,Rural / small town,35.8,1.0,0
P02731,55-64,Man,London,Urban,44.2,2.4,0
P02732,18-24,Man,London,Urban,89.5,7.4,1
P02733,25-34,Non-binary / other,South,Urban,96.9,5.4,0
P02734,45-54,Man,North,Urban,67.3,4.4,0
P02735,18-24,Man,London,Urban,70.2,2.9,0
P02736,25-34,Man,London,Urban,58.6,7.1,1
P02737,45-54,Woman,Scotland/Wales,Urban,61.8,4.9,0
P02738,18-24,Man,South,Urban,71.3,5.4,0
P02739,55-64,Man,North,Urban,42.8,5.1,0
P02740,45-54,Man,South,Urban,40.4,3.7,0
P02741,45-54,Woman,North,Urban,41.6,2.4,0
P02742,35-44,Woman,South,Rural / small town,67.8,4.7,0
P02743,65-74,Man,North,Rural / small town,38.0,1.6,0
P02744,35-44,Man,Midlands,Urban,73.9,6.3,0
P02745,45-54,Woman,Midlands,Urban,40.4,6.3,0
P02746,35-44,Man,North,Urban,59.5,3.0,0
P02747,18-24,Man,South,Urban,94.3,4.9,0
P02748,45-54,Woman,South,Urban,63.7,4.3,0
P02749,45-54,Man,North,Urban,71.3,6.8,0
P02750,55-64,Man,South,Rural / small town,44.1,3.3,0
P02751,25-34,Woman,Midlands,Rural / small town,62.0,4.9,0
P02752,18-24,Woman,South,Urban,97.2,8.5,1
P02753,25-34,Woman,Midlands,Rural / small town,78.1,5.6,0
P02754,55-64,Man,North,Urban,64.9,5.4,0
P02755,25-34,Man,North,Rural / small town,50.2,4.3,0
P02756,25-34,Man,South,Urban,100.0,6.7,0
P02757,25-34,Man,London,Rural / small town,71.4,5.5,0
P02758,55-64,Woman,North,Urban,76.5,7.2,1
P02759,25-34,Woman,South,Rural / small town,53.2,4.4,0
P02760,65-74,Woman,North,Rural / small town,29.1,3.6,0
P02761,35-44,Woman,Midlands,Urban,74.4,6.7,0
P02762,25-34,Man,South,Rural / small town,63.4,7.3,1
P02763,25-34,Man,London,Urban,92.6,5.4,0
P02764,65-74,Man,South,Urban,36.5,1.9,0
P02765,45-54,Man,London,Urban,65.3,5.1,0
P02766,35-44,Man,Midlands,Urban,68.2,4.4,0
P02767,55-64,Woman,South,Rural / small town,71.4,2.0,0
P02768,45-54,Man,North,Rural / small town,64.0,4.9,0
P02769,55-64,Man,Scotland/Wales,Urban,66.0,4.1,0
P02770,55-64,Woman,Scotland/Wales,Urban,46.0,2.5,0
P02771,35-44,Man,North,Urban,96.1,5.1,0
P02772,35-44,Man,North,Urban,76.1,5.6,0
P02773,45-54,Man,North,Urban,68.3,6.1,0
P02774,65-74,Woman,North,Rural / small town,49.0,4.7,0
P02775,45-54,Woman,Midlands,Urban,52.7,6.3,0
P02776,65-74,Man,Midlands,Urban,40.4,3.4,0
P02777,18-24,Woman,Scotland/Wales,Urban,80.6,3.3,0
P02778,35-44,Woman,North,Urban,69.0,5.6,0
P02779,65-74,Man,North,Urban,48.7,2.5,0
P02780,65-74,Man,South,Urban,30.7,2.7,0
P02781,35-44,Woman,London,Urban,75.7,4.4,0
P02782,35-44,Woman,South,Rural / small town,57.7,6.8,0
P02783,35-44,Man,Scotland/Wales,Urban,69.8,4.1,0
P02784,65-74,Woman,London,Urban,68.0,4.3,0
P02785,35-44,Man,South,Urban,93.7,5.0,0
P02786,55-64,Man,London,Urban,29.8,4.6,0
P02787,45-54,Man,Scotland/Wales,Rural / small town,35.9,3.8,0
P02788,45-54,Woman,North,Urban,75.7,6.0,0
P02789,35-44,Woman,Scotland/Wales,Rural / small town,75.8,5.0,0
P02790,18-24,Woman,Midlands,Urban,78.0,4.3,0
P02791,65-74,Woman,London,Urban,42.9,4.5,0
P02792,45-54,Man,South,Rural / small town,44.1,3.5,0
P02793,35-44,Non-binary / other,Scotland/Wales,Urban,64.5,5.1,0
P02794,18-24,Man,South,Urban,90.0,8.8,1
P02795,45-54,Woman,South,Rural / small town,58.9,3.8,0
P02796,25-34,Non-binary / other,South,Rural / small town,68.7,4.4,0
P02797,55-64,Man,North,Urban,42.2,1.7,0
P02798,65-74,Woman,North,Rural / small town,40.1,3.4,0
P02799,35-44,Man,London,Urban,53.6,6.9,0
P02800,65-74,Woman,Midlands,Urban,38.5,4.6,0
P02801,65-74,Man,London,Urban,38.1,2.7,0
P02802,18-24,Woman,North,Rural / small town,67.5,4.4,0
P02803,35-44,Woman,London,Urban,46.5,5.8,0
P02804,25-34,Woman,North,Urban,80.3,6.2,0
P02805,18-24,Woman,South,Urban,85.3,8.1,1
P02806,25-34,Non-binary / other,North,Rural / small town,91.3,5.6,0
P02807,55-64,Man,North,Rural / small town,29.5,3.1,0
P02808,25-34,Woman,South,Urban,96.5,6.1,0
P02809,45-54,Man,North,Rural / small town,48.9,2.7,0
P02810,45-54,Man,South,Rural / small town,43.1,4.6,0
P02811,55-64,Woman,South,Urban,78.2,6.1,0
P02812,45-54,Man,South,Rural / small town,40.4,3.1,0
P02813,18-24,Woman,North,Urban,75.3,5.7,0
P02814,25-34,Woman,North,Urban,77.9,5.0,0
P02815,55-64,Woman,North,Rural / small town,39.0,1.9,0
P02816,25-34,Man,North,Urban,74.9,4.0,0
P02817,25-34,Man,North,Rural / small town,55.3,7.0,1
P02818,65-74,Man,South,Rural / small town,28.0,1.1,0
P02819,55-64,Woman,South,Urban,55.5,4.0,0
P02820,65-74,Man,South,Urban,47.8,4.7,0
P02821,55-64,Woman,North,Urban,54.8,1.3,0
P02822,35-44,Man,South,Rural / small town,75.9,3.4,0
P02823,35-44,Woman,North,Urban,73.7,4.5,0
P02824,25-34,Non-binary / other,Scotland/Wales,Urban,82.6,5.2,0
P02825,18-24,Woman,London,Urban,75.3,5.3,0
P02826,45-54,Man,Midlands,Urban,64.1,7.5,1
P02827,65-74,Woman,South,Urban,50.1,3.7,0
P02828,25-34,Man,South,Urban,69.8,8.8,1
P02829,45-54,Woman,Scotland/Wales,Rural / small town,42.3,4.1,0
P02830,35-44,Man,Scotland/Wales,Rural / small town,56.9,3.7,0
P02831,65-74,Woman,North,Urban,39.8,3.1,0
P02832,55-64,Man,North,Urban,45.8,2.5,0
P02833,25-34,Woman,Midlands,Urban,100.0,7.3,1
P02834,25-34,Woman,North,Urban,76.6,4.6,0
P02835,18-24,Man,London,Urban,76.5,5.1,0
P02836,35-44,Man,North,Urban,63.6,6.4,0
P02837,25-34,Woman,London,Urban,86.3,6.8,0
P02838,55-64,Man,Scotland/Wales,Urban,25.3,3.0,0
P02839,65-74,Woman,Midlands,Urban,35.4,4.7,0
P02840,65-74,Woman,South,Urban,48.9,2.5,0
P02841,25-34,Woman,South,Urban,81.4,8.0,1
P02842,55-64,Man,North,Rural / small town,30.9,2.6,0
P02843,35-44,Woman,South,Urban,71.7,8.2,1
P02844,65-74,Woman,Midlands,Urban,38.4,0.0,0
P02845,55-64,Man,North,Rural / small town,47.5,5.0,0
P02846,35-44,Man,South,Rural / small town,47.7,5.9,0
P02847,45-54,Man,South,Urban,63.3,4.8,0
P02848,55-64,Woman,North,Urban,85.0,4.5,0
P02849,25-34,Man,South,Urban,77.3,4.3,0
P02850,35-44,Woman,South,Rural / small town,83.4,7.4,1
P02851,65-74,Man,South,Urban,55.1,4.7,0
P02852,25-34,Man,North,Urban,71.0,6.3,0
P02853,35-44,Woman,South,Rural / small town,65.8,2.5,0
P02854,35-44,Woman,Midlands,Rural / small town,63.9,6.1,0
P02855,45-54,Woman,London,Urban,73.4,5.3,0
P02856,65-74,Man,Scotland/Wales,Rural / small town,24.7,4.2,0
P02857,35-44,Woman,Scotland/Wales,Rural / small town,38.5,2.8,0
P02858,45-54,Woman,North,Urban,65.0,2.2,0
P02859,45-54,Woman,North,Urban,71.7,7.9,1
P02860,65-74,Man,Scotland/Wales,Rural / small town,28.6,3.2,0
P02861,35-44,Woman,Scotland/Wales,Urban,83.4,4.3,0
P02862,45-54,Man,South,Urban,40.0,4.3,0
P02863,45-54,Man,South,Urban,56.5,5.3,0
P02864,65-74,Man,South,Urban,35.5,3.7,0
P02865,45-54,Woman,South,Urban,54.4,2.1,0
P02866,35-44,Woman,North,Urban,60.3,7.2,1
P02867,45-54,Woman,Midlands,Rural / small town,38.3,6.3,0
P02868,18-24,Woman,London,Urban,69.8,5.3,0
P02869,25-34,Man,North,Rural / small town,90.4,6.9,0
P02870,45-54,Woman,South,Rural / small town,58.3,3.2,0
P02871,55-64,Man,Midlands,Urban,54.8,2.1,0
P02872,18-24,Woman,Scotland/Wales,Rural / small town,88.1,5.7,0
P02873,45-54,Man,North,Urban,96.3,7.2,1
P02874,25-34,Man,South,Urban,82.8,8.9,1
P02875,35-44,Woman,South,Urban,69.8,4.9,0
P02876,25-34,Man,Midlands,Rural / small town,68.6,6.6,0
P02877,25-34,Woman,Scotland/Wales,Rural / small town,82.2,4.3,0
P02878,35-44,Man,South,Urban,83.5,5.6,0
P02879,18-24,Man,South,Urban,88.5,2.5,0
P02880,45-54,Woman,North,Urban,65.7,3.5,0
P02881,25-34,Woman,Scotland/Wales,Rural / small town,66.0,3.8,0
P02882,55-64,Man,South,Urban,61.7,4.1,0
P02883,55-64,Woman,Midlands,Rural / small town,32.0,3.1,0
P02884,65-74,Woman,Scotland/Wales,Rural / small town,47.2,0.0,0
P02885,55-64,Woman,Scotland/Wales,Rural / small town,23.8,2.2,0
