strategy,person_id,age_band,gender,region,urbanicity,digital_engagement_score,concept_interest_0_10,likely_to_try
Simple random,P34681,55-64,Man,Midlands,Urban,69.4,5.3,0
Simple random,P41548,25-34,Woman,South,Urban,85.2,6.6,0
Simple random,P11296,55-64,Woman,Scotland/Wales,Urban,45.0,7.0,1
Simple random,P08345,55-64,Woman,Scotland/Wales,Urban,67.2,3.9,0
Simple random,P27080,25-34,Man,South,Rural / small town,63.6,2.1,0
Simple random,P24865,65-74,Woman,South,Rural / small town,33.3,0.5,0
Simple random,P03749,18-24,Woman,Midlands,Urban,91.6,7.7,1
Simple random,P09960,65-74,Woman,North,Rural / small town,24.7,3.3,0
Simple random,P06197,55-64,Man,North,Rural / small town,13.2,3.0,0
Simple random,P37148,45-54,Woman,Midlands,Urban,64.5,5.0,0
Simple random,P00977,25-34,Man,Midlands,Urban,65.8,7.0,1
Simple random,P48795,25-34,Man,South,Urban,70.4,3.0,0
Simple random,P08301,25-34,Man,North,Urban,84.8,4.5,0
Simple random,P23773,55-64,Woman,Midlands,Urban,57.0,4.6,0
Simple random,P22495,45-54,Man,Midlands,Urban,69.0,3.5,0
Simple random,P46772,35-44,Man,North,Rural / small town,48.3,3.1,0
Simple random,P22154,45-54,Man,North,Urban,41.5,1.0,0
Simple random,P31751,18-24,Man,London,Urban,85.5,7.1,1
Proportional stratified,P28123,18-24,Woman,London,Urban,66.4,8.1,1
Proportional stratified,P02457,18-24,Woman,London,Urban,77.9,3.9,0
Proportional stratified,P02453,18-24,Woman,London,Urban,83.4,5.8,0
Proportional stratified,P46660,18-24,Man,London,Urban,82.5,5.3,0
Proportional stratified,P08277,18-24,Man,London,Urban,99.3,5.1,0
Proportional stratified,P25077,18-24,Man,London,Urban,62.9,5.7,0
Proportional stratified,P20843,18-24,Man,London,Urban,66.8,6.2,0
Proportional stratified,P20886,18-24,Man,London,Urban,100.0,4.3,0
Proportional stratified,P03031,18-24,Woman,London,Urban,83.8,7.8,1
Proportional stratified,P22016,18-24,Man,London,Rural / small town,98.9,6.8,0
Proportional stratified,P43799,18-24,Woman,London,Rural / small town,73.0,8.5,1
Proportional stratified,P18617,18-24,Woman,London,Urban,72.6,4.9,0
Proportional stratified,P39119,18-24,Woman,London,Urban,85.7,8.1,1
Proportional stratified,P06411,18-24,Man,Midlands,Urban,93.3,7.2,1
Proportional stratified,P21399,18-24,Man,Midlands,Urban,100.0,7.1,1
Proportional stratified,P38525,18-24,Woman,Midlands,Rural / small town,76.5,3.7,0
Proportional stratified,P09908,18-24,Man,Midlands,Urban,68.5,4.4,0
Proportional stratified,P35743,18-24,Woman,Midlands,Urban,81.9,5.0,0
Proportional stratified,P45067,18-24,Woman,Midlands,Rural / small town,64.3,3.1,0
Proportional stratified,P14182,18-24,Woman,Midlands,Urban,88.1,4.9,0
Proportional stratified,P25695,18-24,Man,Midlands,Rural / small town,100.0,6.7,0
Proportional stratified,P40659,18-24,Woman,Midlands,Urban,91.3,8.1,1
Proportional stratified,P27510,18-24,Woman,Midlands,Rural / small town,73.1,5.3,0
Proportional stratified,P17072,18-24,Woman,Midlands,Urban,74.7,4.5,0
Proportional stratified,P43773,18-24,Woman,Midlands,Urban,76.2,6.7,0
Proportional stratified,P43855,18-24,Woman,Midlands,Urban,71.6,5.2,0
Proportional stratified,P46596,18-24,Man,Midlands,Urban,79.2,7.3,1
Proportional stratified,P20852,18-24,Man,Midlands,Rural / small town,46.0,4.8,0
Proportional stratified,P32770,18-24,Woman,Midlands,Rural / small town,71.8,3.5,0
Proportional stratified,P44919,18-24,Woman,Midlands,Urban,78.2,7.6,1
Proportional stratified,P08147,18-24,Man,Midlands,Urban,76.6,2.5,0
Proportional stratified,P48808,18-24,Woman,Midlands,Urban,64.0,2.3,0
Proportional stratified,P13788,18-24,Man,Midlands,Urban,92.0,6.2,0
Proportional stratified,P41690,18-24,Man,North,Urban,71.3,5.0,0
Proportional stratified,P45668,18-24,Woman,North,Urban,76.9,7.5,1
Proportional stratified,P03155,18-24,Man,North,Urban,92.7,8.7,1
Proportional stratified,P46709,18-24,Man,North,Urban,100.0,5.7,0
Proportional stratified,P30419,18-24,Man,North,Urban,98.5,6.1,0
Proportional stratified,P11255,18-24,Woman,North,Urban,85.4,4.9,0
Proportional stratified,P24262,18-24,Woman,North,Urban,70.7,2.5,0
Proportional stratified,P17651,18-24,Man,North,Urban,88.1,8.4,1
Proportional stratified,P26115,18-24,Woman,North,Rural / small town,72.4,6.1,0
Proportional stratified,P24121,18-24,Man,North,Rural / small town,70.5,6.6,0
Proportional stratified,P05171,18-24,Woman,North,Rural / small town,57.0,4.1,0
Proportional stratified,P03056,18-24,Man,North,Rural / small town,79.8,7.6,1
Proportional stratified,P04825,18-24,Man,North,Urban,84.1,5.5,0
Proportional stratified,P18480,18-24,Woman,North,Urban,100.0,6.5,0
Proportional stratified,P03540,18-24,Woman,North,Urban,81.3,5.6,0
Proportional stratified,P32671,18-24,Woman,North,Rural / small town,77.8,3.7,0
Proportional stratified,P20510,18-24,Man,North,Urban,85.5,5.5,0
Proportional stratified,P39925,18-24,Woman,North,Urban,83.2,3.3,0
Proportional stratified,P21683,18-24,Woman,North,Urban,77.7,2.0,0
Proportional stratified,P00221,18-24,Man,North,Urban,81.7,2.5,0
Proportional stratified,P14932,18-24,Man,North,Urban,72.9,7.0,1
Proportional stratified,P05670,18-24,Woman,North,Rural / small town,83.0,3.8,0
Proportional stratified,P15608,18-24,Woman,North,Rural / small town,99.1,5.6,0
Proportional stratified,P21943,18-24,Woman,North,Urban,93.9,3.8,0
Proportional stratified,P49252,18-24,Man,North,Rural / small town,69.1,2.8,0
Proportional stratified,P44684,18-24,Man,Scotland/Wales,Rural / small town,74.3,7.0,1
Proportional stratified,P42489,18-24,Man,Scotland/Wales,Rural / small town,86.4,4.7,0
Proportional stratified,P42161,18-24,Man,Scotland/Wales,Rural / small town,56.0,3.8,0
Proportional stratified,P02084,18-24,Man,Scotland/Wales,Rural / small town,64.6,4.4,0
Proportional stratified,P06625,18-24,Man,Scotland/Wales,Rural / small town,88.4,4.7,0
Proportional stratified,P12930,18-24,Man,Scotland/Wales,Rural / small town,99.6,5.2,0
Proportional stratified,P21382,18-24,Woman,Scotland/Wales,Rural / small town,80.6,3.6,0
Proportional stratified,P01536,18-24,Woman,Scotland/Wales,Urban,100.0,4.9,0
Proportional stratified,P34375,18-24,Man,Scotland/Wales,Urban,71.4,5.8,0
Proportional stratified,P47586,18-24,Woman,Scotland/Wales,Urban,84.0,3.7,0
Proportional stratified,P31458,18-24,Woman,Scotland/Wales,Rural / small town,66.7,1.9,0
Proportional stratified,P40267,18-24,Woman,Scotland/Wales,Urban,83.0,4.3,0
Proportional stratified,P24668,18-24,Man,Scotland/Wales,Urban,84.5,5.0,0
Proportional stratified,P47497,18-24,Woman,South,Rural / small town,72.1,3.4,0
Proportional stratified,P33747,18-24,Man,South,Urban,81.5,4.3,0
Proportional stratified,P15962,18-24,Man,South,Rural / small town,69.0,3.9,0
Proportional stratified,P18052,18-24,Woman,South,Urban,62.0,6.3,0
Proportional stratified,P35239,18-24,Woman,South,Urban,75.3,2.8,0
Proportional stratified,P47769,18-24,Man,South,Urban,69.3,9.8,1
Proportional stratified,P29399,18-24,Woman,South,Urban,100.0,7.0,1
Proportional stratified,P45287,18-24,Woman,South,Urban,78.6,8.9,1
Proportional stratified,P41400,18-24,Man,South,Urban,89.3,7.1,1
Proportional stratified,P16884,18-24,Man,South,Urban,100.0,7.7,1
Proportional stratified,P40154,18-24,Man,South,Urban,81.2,4.0,0
Proportional stratified,P26013,18-24,Woman,South,Urban,79.5,3.7,0
Proportional stratified,P29612,18-24,Man,South,Urban,89.9,9.5,1
Proportional stratified,P13708,18-24,Man,South,Rural / small town,71.1,1.4,0
Proportional stratified,P46352,18-24,Man,South,Urban,91.5,6.2,0
Proportional stratified,P24219,18-24,Woman,South,Rural / small town,70.7,6.1,0
Proportional stratified,P02794,18-24,Man,South,Urban,90.0,8.8,1
Proportional stratified,P40195,18-24,Woman,South,Urban,76.2,5.3,0
Proportional stratified,P33902,18-24,Woman,South,Urban,78.9,4.1,0
Proportional stratified,P47187,18-24,Woman,South,Urban,78.2,4.9,0
Proportional stratified,P30632,18-24,Woman,South,Urban,99.8,6.3,0
Proportional stratified,P36447,18-24,Man,South,Urban,100.0,7.8,1
Proportional stratified,P30176,18-24,Man,South,Rural / small town,76.8,2.7,0
Proportional stratified,P03226,18-24,Man,South,Rural / small town,82.6,8.2,1
Proportional stratified,P29650,25-34,Woman,London,Urban,66.5,8.7,1
Proportional stratified,P47412,25-34,Man,London,Urban,93.6,5.6,0
Proportional stratified,P39071,25-34,Man,London,Urban,78.1,6.7,0
Proportional stratified,P05213,25-34,Woman,London,Urban,74.5,4.5,0
Proportional stratified,P34694,25-34,Man,London,Urban,73.0,6.1,0
Proportional stratified,P19562,25-34,Woman,London,Urban,100.0,8.4,1
Proportional stratified,P35123,25-34,Man,London,Urban,71.2,3.7,0
Proportional stratified,P00174,25-34,Woman,London,Urban,93.6,8.1,1
Proportional stratified,P32325,25-34,Woman,London,Urban,88.4,7.1,1
Proportional stratified,P37942,25-34,Man,London,Urban,75.3,8.3,1
Proportional stratified,P48760,25-34,Man,London,Urban,74.6,5.8,0
Proportional stratified,P04214,25-34,Man,London,Urban,76.1,8.6,1
Proportional stratified,P16218,25-34,Man,London,Urban,82.9,7.0,1
Proportional stratified,P37372,25-34,Man,London,Urban,74.6,6.5,0
Proportional stratified,P38646,25-34,Man,London,Rural / small town,60.7,6.0,0
Proportional stratified,P15601,25-34,Woman,London,Urban,84.5,9.7,1
Proportional stratified,P22883,25-34,Woman,London,Urban,69.2,6.2,0
Proportional stratified,P13524,25-34,Man,London,Rural / small town,62.2,4.5,0
Proportional stratified,P01010,25-34,Woman,London,Urban,65.9,7.1,1
Proportional stratified,P35389,25-34,Woman,London,Urban,86.8,7.2,1
Proportional stratified,P30398,25-34,Man,London,Urban,62.3,4.3,0
Proportional stratified,P13488,25-34,Woman,Midlands,Urban,99.2,7.8,1
Proportional stratified,P18947,25-34,Woman,Midlands,Urban,72.7,5.4,0
Proportional stratified,P42641,25-34,Woman,Midlands,Urban,82.8,7.2,1
Proportional stratified,P15139,25-34,Man,Midlands,Rural / small town,60.3,6.0,0
Proportional stratified,P30876,25-34,Man,Midlands,Urban,81.0,7.1,1
Proportional stratified,P05677,25-34,Man,Midlands,Urban,93.5,6.0,0
Proportional stratified,P19567,25-34,Woman,Midlands,Urban,75.9,7.9,1
Proportional stratified,P29061,25-34,Woman,Midlands,Rural / small town,53.2,3.1,0
Proportional stratified,P07998,25-34,Man,Midlands,Rural / small town,83.2,7.5,1
Proportional stratified,P25302,25-34,Woman,Midlands,Rural / small town,59.6,5.8,0
Proportional stratified,P24999,25-34,Man,Midlands,Urban,82.8,5.8,0
Proportional stratified,P08209,25-34,Non-binary / other,Midlands,Urban,80.6,6.5,0
Proportional stratified,P31550,25-34,Woman,Midlands,Rural / small town,58.1,6.9,0
Proportional stratified,P27949,25-34,Non-binary / other,Midlands,Urban,84.0,8.0,1
Proportional stratified,P10950,25-34,Woman,Midlands,Rural / small town,76.9,6.9,0
Proportional stratified,P48455,25-34,Man,Midlands,Urban,88.9,8.5,1
Proportional stratified,P18619,25-34,Woman,Midlands,Urban,89.6,3.7,0
Proportional stratified,P42688,25-34,Woman,Midlands,Urban,87.0,7.3,1
Proportional stratified,P15574,25-34,Woman,Midlands,Rural / small town,64.5,5.3,0
Proportional stratified,P10686,25-34,Non-binary / other,Midlands,Rural / small town,65.9,4.7,0
Proportional stratified,P01039,25-34,Woman,Midlands,Rural / small town,57.7,3.9,0
Proportional stratified,P12496,25-34,Woman,Midlands,Rural / small town,51.1,5.1,0
Proportional stratified,P46623,25-34,Man,Midlands,Rural / small town,82.9,6.0,0
Proportional stratified,P11233,25-34,Man,Midlands,Rural / small town,75.0,7.0,1
Proportional stratified,P13100,25-34,Man,Midlands,Rural / small town,49.7,3.9,0
Proportional stratified,P03671,25-34,Man,Midlands,Rural / small town,88.5,8.2,1
Proportional stratified,P39450,25-34,Man,Midlands,Urban,89.0,5.5,0
Proportional stratified,P05418,25-34,Woman,Midlands,Rural / small town,56.8,6.8,0
Proportional stratified,P00787,25-34,Man,Midlands,Urban,73.5,6.6,0
Proportional stratified,P33390,25-34,Man,Midlands,Rural / small town,72.3,4.9,0
Proportional stratified,P49659,25-34,Woman,Midlands,Urban,79.2,4.9,0
Proportional stratified,P47030,25-34,Woman,Midlands,Rural / small town,61.2,2.7,0
Proportional stratified,P38004,25-34,Man,Midlands,Urban,80.6,6.4,0
Proportional stratified,P05167,25-34,Man,Midlands,Urban,76.3,6.9,0
Proportional stratified,P00079,25-34,Man,North,Urban,69.9,5.8,0
Proportional stratified,P32200,25-34,Man,North,Rural / small town,60.6,4.8,0
Proportional stratified,P11398,25-34,Woman,North,Urban,68.4,7.2,1
Proportional stratified,P36669,25-34,Woman,North,Urban,100.0,4.0,0
Proportional stratified,P24285,25-34,Man,North,Urban,67.7,6.7,0
Proportional stratified,P28102,25-34,Woman,North,Urban,73.2,7.3,1
Proportional stratified,P25906,25-34,Woman,North,Urban,95.5,7.4,1
Proportional stratified,P49045,25-34,Woman,North,Urban,77.8,6.5,0
Proportional stratified,P47790,25-34,Man,North,Rural / small town,54.5,5.8,0
Proportional stratified,P19580,25-34,Woman,North,Urban,73.2,5.5,0
Proportional stratified,P41180,25-34,Woman,North,Urban,77.2,8.7,1
Proportional stratified,P06110,25-34,Man,North,Urban,57.9,7.5,1
Proportional stratified,P28089,25-34,Man,North,Urban,72.3,4.3,0
Proportional stratified,P39955,25-34,Man,North,Urban,74.8,7.5,1
Proportional stratified,P14571,25-34,Woman,North,Urban,65.4,4.9,0
Proportional stratified,P27463,25-34,Man,North,Urban,91.0,5.7,0
Proportional stratified,P00430,25-34,Woman,North,Rural / small town,78.8,3.9,0
Proportional stratified,P36099,25-34,Man,North,Urban,65.2,7.3,1
Proportional stratified,P14217,25-34,Man,North,Urban,71.8,6.1,0
Proportional stratified,P04827,25-34,Man,North,Rural / small town,74.4,6.6,0
Proportional stratified,P17697,25-34,Man,North,Urban,79.7,8.2,1
Proportional stratified,P37383,25-34,Woman,North,Rural / small town,69.7,5.9,0
Proportional stratified,P15317,25-34,Man,North,Urban,100.0,8.0,1
Proportional stratified,P33660,25-34,Man,North,Rural / small town,62.0,5.1,0
Proportional stratified,P19965,25-34,Woman,North,Rural / small town,56.2,7.0,1
Proportional stratified,P38435,25-34,Woman,North,Urban,93.5,7.1,1
Proportional stratified,P25837,25-34,Man,North,Urban,94.9,7.6,1
Proportional stratified,P46805,25-34,Man,North,Rural / small town,60.0,5.6,0
Proportional stratified,P33402,25-34,Man,North,Urban,71.9,6.3,0
Proportional stratified,P35492,25-34,Man,North,Urban,88.3,7.5,1
Proportional stratified,P23531,25-34,Man,North,Urban,76.2,5.6,0
Proportional stratified,P05868,25-34,Woman,North,Urban,93.4,7.5,1
Proportional stratified,P12919,25-34,Woman,North,Urban,76.5,7.4,1
Proportional stratified,P11440,25-34,Man,North,Urban,80.1,7.9,1
Proportional stratified,P16286,25-34,Woman,North,Rural / small town,52.6,6.5,0
Proportional stratified,P48049,25-34,Man,North,Urban,79.9,5.3,0
Proportional stratified,P47166,25-34,Woman,North,Rural / small town,86.7,5.2,0
Proportional stratified,P18054,25-34,Man,North,Urban,67.2,5.1,0
Proportional stratified,P38666,25-34,Man,North,Rural / small town,58.9,6.3,0
Proportional stratified,P15121,25-34,Man,North,Urban,92.2,5.9,0
Proportional stratified,P18456,25-34,Woman,North,Urban,65.1,4.3,0
Proportional stratified,P03766,25-34,Man,North,Rural / small town,76.3,6.5,0
Proportional stratified,P43604,25-34,Woman,Scotland/Wales,Urban,52.6,6.4,0
Proportional stratified,P22237,25-34,Woman,Scotland/Wales,Urban,66.5,4.7,0
Proportional stratified,P43897,25-34,Man,Scotland/Wales,Rural / small town,76.7,2.6,0
Proportional stratified,P39988,25-34,Man,Scotland/Wales,Rural / small town,79.5,7.8,1
Proportional stratified,P00931,25-34,Woman,Scotland/Wales,Urban,78.5,5.2,0
Proportional stratified,P03430,25-34,Woman,Scotland/Wales,Rural / small town,74.3,6.8,0
Proportional stratified,P09477,25-34,Woman,Scotland/Wales,Urban,90.2,3.4,0
Proportional stratified,P41086,25-34,Woman,Scotland/Wales,Urban,84.5,4.9,0
Proportional stratified,P28325,25-34,Man,Scotland/Wales,Rural / small town,63.9,4.8,0
Proportional stratified,P44188,25-34,Man,Scotland/Wales,Rural / small town,64.4,4.2,0
Proportional stratified,P10447,25-34,Man,Scotland/Wales,Urban,97.4,7.4,1
Proportional stratified,P18902,25-34,Man,Scotland/Wales,Rural / small town,81.2,5.4,0
Proportional stratified,P38167,25-34,Woman,Scotland/Wales,Urban,78.6,7.5,1
Proportional stratified,P31826,25-34,Woman,Scotland/Wales,Rural / small town,60.3,5.4,0
Proportional stratified,P35614,25-34,Woman,Scotland/Wales,Urban,82.3,6.5,0
Proportional stratified,P49010,25-34,Man,Scotland/Wales,Urban,85.9,5.4,0
Proportional stratified,P36545,25-34,Woman,Scotland/Wales,Urban,91.3,6.3,0
Proportional stratified,P12801,25-34,Woman,Scotland/Wales,Rural / small town,72.3,6.2,0
Proportional stratified,P06704,25-34,Man,Scotland/Wales,Urban,82.4,6.5,0
Proportional stratified,P49740,25-34,Man,Scotland/Wales,Urban,86.0,4.5,0
Proportional stratified,P34713,25-34,Man,Scotland/Wales,Rural / small town,68.5,4.0,0
Proportional stratified,P28658,25-34,Man,Scotland/Wales,Urban,83.8,7.0,1
Proportional stratified,P09416,25-34,Woman,South,Urban,67.7,7.0,1
Proportional stratified,P36600,25-34,Man,South,Urban,87.7,4.2,0
Proportional stratified,P31405,25-34,Woman,South,Urban,86.7,6.8,0
Proportional stratified,P40833,25-34,Man,South,Rural / small town,69.8,3.0,0
Proportional stratified,P37487,25-34,Man,South,Urban,90.2,5.6,0
Proportional stratified,P36441,25-34,Man,South,Urban,82.5,8.3,1
Proportional stratified,P15769,25-34,Man,South,Rural / small town,76.7,4.7,0
Proportional stratified,P45130,25-34,Man,South,Urban,84.1,6.4,0
Proportional stratified,P35896,25-34,Woman,South,Rural / small town,93.8,8.1,1
Proportional stratified,P42525,25-34,Woman,South,Urban,68.3,7.9,1
Proportional stratified,P17948,25-34,Man,South,Urban,73.2,4.8,0
Proportional stratified,P20021,25-34,Man,South,Urban,92.2,7.0,1
Proportional stratified,P03987,25-34,Woman,South,Urban,83.7,7.0,1
Proportional stratified,P26312,25-34,Man,South,Urban,72.9,7.2,1
Proportional stratified,P05087,25-34,Man,South,Urban,66.3,5.2,0
Proportional stratified,P24703,25-34,Man,South,Rural / small town,68.4,4.9,0
Proportional stratified,P10368,25-34,Woman,South,Urban,69.7,7.2,1
Proportional stratified,P20900,25-34,Man,South,Urban,83.3,4.1,0
Proportional stratified,P27056,25-34,Man,South,Rural / small town,77.9,4.6,0
Proportional stratified,P18514,25-34,Non-binary / other,South,Rural / small town,67.7,4.6,0
Proportional stratified,P47943,25-34,Woman,South,Urban,92.7,6.6,0
Proportional stratified,P22602,25-34,Man,South,Urban,88.3,9.2,1
Proportional stratified,P37257,25-34,Man,South,Urban,78.4,5.5,0
Proportional stratified,P21470,25-34,Woman,South,Urban,78.5,6.6,0
Proportional stratified,P28573,25-34,Man,South,Rural / small town,53.6,5.9,0
Proportional stratified,P49715,25-34,Woman,South,Urban,68.7,6.8,0
Proportional stratified,P20728,25-34,Woman,South,Urban,97.1,9.6,1
Proportional stratified,P30959,25-34,Man,South,Rural / small town,68.2,5.9,0
Proportional stratified,P04270,25-34,Woman,South,Rural / small town,66.0,5.7,0
Proportional stratified,P01403,25-34,Man,South,Urban,97.4,6.3,0
Proportional stratified,P17945,25-34,Man,South,Urban,80.8,6.0,0
Proportional stratified,P20546,25-34,Man,South,Rural / small town,55.7,5.7,0
Proportional stratified,P07742,25-34,Woman,South,Urban,100.0,7.3,1
Proportional stratified,P18311,25-34,Woman,South,Urban,94.1,7.8,1
Proportional stratified,P25542,25-34,Woman,South,Urban,97.8,7.5,1
Proportional stratified,P38042,25-34,Man,South,Urban,83.1,8.8,1
Proportional stratified,P15750,25-34,Man,South,Rural / small town,77.3,5.3,0
Proportional stratified,P44969,25-34,Woman,South,Urban,64.7,6.4,0
Proportional stratified,P48652,25-34,Man,South,Urban,63.8,8.0,1
Proportional stratified,P00674,25-34,Woman,South,Urban,63.3,5.9,0
Proportional stratified,P19892,25-34,Woman,South,Urban,87.3,9.9,1
Proportional stratified,P33908,35-44,Woman,London,Urban,73.8,10.0,1
Proportional stratified,P02964,35-44,Woman,London,Urban,81.9,7.0,1
Proportional stratified,P00268,35-44,Man,London,Urban,66.3,5.1,0
Proportional stratified,P41922,35-44,Woman,London,Urban,66.8,7.7,1
Proportional stratified,P29727,35-44,Man,London,Urban,75.1,5.6,0
Proportional stratified,P45938,35-44,Woman,London,Urban,73.6,6.9,0
Proportional stratified,P12660,35-44,Man,London,Rural / small town,53.7,4.9,0
Proportional stratified,P31944,35-44,Man,London,Urban,64.6,6.2,0
Proportional stratified,P32108,35-44,Man,London,Rural / small town,69.5,5.1,0
Proportional stratified,P38996,35-44,Woman,London,Urban,90.4,6.5,0
Proportional stratified,P06233,35-44,Woman,London,Rural / small town,72.9,9.1,1
Proportional stratified,P44677,35-44,Man,London,Urban,71.2,4.6,0
Proportional stratified,P41381,35-44,Woman,London,Urban,86.7,6.7,0
Proportional stratified,P04936,35-44,Man,London,Urban,83.6,4.7,0
Proportional stratified,P18164,35-44,Woman,London,Urban,71.3,5.7,0
Proportional stratified,P36296,35-44,Man,London,Urban,75.2,5.8,0
Proportional stratified,P31734,35-44,Man,London,Urban,56.8,4.1,0
Proportional stratified,P44678,35-44,Man,London,Urban,80.7,4.9,0
Proportional stratified,P22148,35-44,Man,London,Urban,90.5,8.5,1
Proportional stratified,P09456,35-44,Man,London,Urban,67.5,4.9,0
Proportional stratified,P15476,35-44,Man,Midlands,Urban,56.2,5.3,0
Proportional stratified,P26863,35-44,Man,Midlands,Rural / small town,64.9,5.9,0
Proportional stratified,P33389,35-44,Man,Midlands,Rural / small town,49.2,3.6,0
Proportional stratified,P41536,35-44,Man,Midlands,Rural / small town,65.1,5.8,0
Proportional stratified,P40566,35-44,Woman,Midlands,Urban,57.5,1.9,0
Proportional stratified,P41468,35-44,Woman,Midlands,Urban,75.0,4.6,0
Proportional stratified,P14049,35-44,Woman,Midlands,Urban,64.8,7.3,1
Proportional stratified,P08192,35-44,Man,Midlands,Rural / small town,59.0,5.0,0
Proportional stratified,P26600,35-44,Man,Midlands,Urban,78.8,8.3,1
Proportional stratified,P46004,35-44,Woman,Midlands,Urban,48.7,6.9,0
Proportional stratified,P49634,35-44,Woman,Midlands,Urban,64.3,5.4,0
Proportional stratified,P22701,35-44,Man,Midlands,Rural / small town,57.0,5.0,0
Proportional stratified,P42374,35-44,Woman,Midlands,Urban,77.9,8.7,1
Proportional stratified,P20195,35-44,Woman,Midlands,Urban,85.0,5.4,0
Proportional stratified,P36451,35-44,Woman,Midlands,Urban,71.6,4.8,0
Proportional stratified,P31092,35-44,Woman,Midlands,Urban,59.5,4.0,0
Proportional stratified,P47425,35-44,Man,Midlands,Rural / small town,69.8,4.8,0
Proportional stratified,P48640,35-44,Man,Midlands,Urban,60.9,6.4,0
Proportional stratified,P33895,35-44,Woman,Midlands,Urban,90.3,7.8,1
Proportional stratified,P40140,35-44,Man,Midlands,Urban,93.8,6.6,0
Proportional stratified,P26947,35-44,Man,Midlands,Urban,50.1,6.1,0
Proportional stratified,P24297,35-44,Man,Midlands,Rural / small town,52.4,3.3,0
Proportional stratified,P49006,35-44,Man,Midlands,Urban,53.5,1.5,0
Proportional stratified,P09910,35-44,Woman,Midlands,Urban,60.9,7.4,1
Proportional stratified,P35244,35-44,Man,Midlands,Urban,60.1,6.5,0
Proportional stratified,P06409,35-44,Man,Midlands,Rural / small town,86.5,6.0,0
Proportional stratified,P37547,35-44,Man,Midlands,Rural / small town,62.3,4.9,0
Proportional stratified,P37939,35-44,Man,Midlands,Urban,66.6,4.3,0
Proportional stratified,P34708,35-44,Woman,Midlands,Urban,62.2,7.9,1
Proportional stratified,P16660,35-44,Woman,Midlands,Urban,75.8,8.1,1
Proportional stratified,P00243,35-44,Woman,Midlands,Urban,82.4,6.6,0
Proportional stratified,P19635,35-44,Woman,Midlands,Urban,80.8,3.6,0
Proportional stratified,P41878,35-44,Man,Midlands,Urban,97.9,6.4,0
Proportional stratified,P35410,35-44,Man,North,Rural / small town,63.1,5.6,0
Proportional stratified,P13330,35-44,Woman,North,Urban,57.7,4.5,0
Proportional stratified,P26237,35-44,Woman,North,Urban,80.3,5.2,0
Proportional stratified,P36522,35-44,Man,North,Rural / small town,43.4,3.9,0
Proportional stratified,P36597,35-44,Man,North,Urban,72.8,2.0,0
Proportional stratified,P38603,35-44,Man,North,Rural / small town,57.4,3.6,0
Proportional stratified,P45865,35-44,Man,North,Rural / small town,52.7,2.6,0
Proportional stratified,P13157,35-44,Woman,North,Urban,70.8,2.7,0
Proportional stratified,P23730,35-44,Woman,North,Rural / small town,75.2,8.0,1
Proportional stratified,P11994,35-44,Man,North,Urban,98.8,6.6,0
Proportional stratified,P03557,35-44,Woman,North,Urban,92.0,2.4,0
Proportional stratified,P11872,35-44,Man,North,Rural / small town,63.7,4.5,0
Proportional stratified,P04442,35-44,Man,North,Urban,57.5,5.3,0
Proportional stratified,P06645,35-44,Woman,North,Urban,97.1,7.9,1
Proportional stratified,P01045,35-44,Man,North,Rural / small town,79.1,4.5,0
Proportional stratified,P01019,35-44,Woman,North,Urban,62.6,5.8,0
Proportional stratified,P39906,35-44,Woman,North,Rural / small town,62.7,4.5,0
Proportional stratified,P33234,35-44,Man,North,Urban,98.4,4.7,0
Proportional stratified,P39351,35-44,Woman,North,Urban,71.8,4.2,0
Proportional stratified,P03258,35-44,Woman,North,Rural / small town,85.8,2.0,0
Proportional stratified,P21890,35-44,Man,North,Urban,81.4,7.5,1
Proportional stratified,P49256,35-44,Man,North,Urban,50.8,2.5,0
Proportional stratified,P11667,35-44,Woman,North,Urban,64.5,3.8,0
Proportional stratified,P46814,35-44,Man,North,Rural / small town,59.1,5.1,0
Proportional stratified,P05067,35-44,Man,North,Urban,61.3,7.3,1
Proportional stratified,P27676,35-44,Man,North,Urban,70.8,6.5,0
Proportional stratified,P21720,35-44,Man,North,Rural / small town,85.5,6.6,0
Proportional stratified,P30019,35-44,Man,North,Urban,88.0,7.7,1
Proportional stratified,P28455,35-44,Woman,North,Rural / small town,65.9,6.3,0
Proportional stratified,P07272,35-44,Woman,North,Rural / small town,88.1,4.1,0
Proportional stratified,P03604,35-44,Man,North,Urban,87.5,2.5,0
Proportional stratified,P14519,35-44,Woman,North,Urban,82.8,5.7,0
Proportional stratified,P41300,35-44,Woman,North,Urban,77.4,5.5,0
Proportional stratified,P44794,35-44,Woman,North,Urban,68.6,3.1,0
Proportional stratified,P19708,35-44,Woman,North,Urban,71.7,6.3,0
Proportional stratified,P37800,35-44,Man,North,Rural / small town,88.7,5.4,0
Proportional stratified,P07371,35-44,Woman,North,Rural / small town,43.4,0.9,0
Proportional stratified,P07477,35-44,Woman,North,Urban,80.8,5.7,0
Proportional stratified,P29839,35-44,Man,North,Urban,62.3,6.7,0
Proportional stratified,P41459,35-44,Woman,North,Urban,79.1,4.4,0
Proportional stratified,P16166,35-44,Woman,Scotland/Wales,Rural / small town,64.4,5.2,0
Proportional stratified,P29918,35-44,Man,Scotland/Wales,Rural / small town,61.8,9.7,1
